# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
ding yi 	定義	c=2 d=1.2213 t=5035
ding you 	定有	c=1 d=0.01649 t=5035
ding yue 	訂閱	c=4 d=1.65113 t=5035
dong de 	懂得	c=1 d=0.0403566 t=5035
dong tai 	動態	c=1 d=0.00937227 t=5035
dong xi nan bei 	東西南北	c=0 d=0.00434998 t=5035
dong xi nan bei zhong 	東西南北中	c=1 d=0.0437178 t=5035
dou 	都	c=7 d=0.48674 t=5035
dou jiang 	豆漿	c=1 d=0.647265 t=5035
dou jiang 	都將	c=1 d=0.644036 t=5035
dou ju you 	都具有	c=1 d=0.037068 t=5035
dou neng 	都能	c=2 d=0.373439 t=5035
dou neng gou 	都能夠	c=1 d=0.0343896 t=5035
dou shi 	都是	c=1 d=0.0361528 t=5035
dou xi huan 	都喜歡	c=1 d=0.778801 t=5035
dou xing 	都行	c=1 d=0.522046 t=5035
dou you 	都有	c=4 d=0.581674 t=5035
dou zheng xing 	鬥爭性	c=1 d=0.0376283 t=5035
du 	毒	c=0 d=0.000337959 t=5035
du 	都	c=0 d=0.0822835 t=5035
du liang 	度量	c=1 d=0.904837 t=5035
du qu 	讀取	c=1 d=0.66034 t=5035
du shi 	毒師	c=2 d=1.90737 t=5035
du shi 	督師	c=0 d=0.000170362 t=5035
du yan 	讀研	c=1 d=0.540641 t=5035
duan 	短	c=1 d=0.199888 t=5035
duan kou 	端口	c=2 d=0.657047 t=5035
duan luo 	段落	c=1 d=0.574072 t=5035
duan wang 	斷網	c=2 d=0.244302 t=5035
duan zheng 	端正	c=0 d=0.0640824 t=5035
duan zheng ji ji 	端正積極	c=1 d=0.644036 t=5035
dui 	對	c=7 d=1.23797 t=5035
dui bi 	對比	c=3 d=2.49145 t=5035
dui jiao 	對角	c=1 d=0.535261 t=5035
dui shu 	對數	c=0 d=0.0588605 t=5035
dui shu yun suan 	對數運算	c=1 d=0.591555 t=5035
dui yu 	對於	c=7 d=1.20612 t=5035
duo 	多	c=6 d=0.391337 t=5035
duo cao er 	多草而	c=2 d=0.0106549 t=5035
duo ge 	多個	c=1 d=0.543351 t=5035
duo he shui 	多喝水	c=0 d=0.00502874 t=5035
duo he shui shui 	多喝水水	c=1 d=0.0505395 t=5035
duo shao 	多少	c=1 d=0.250324 t=5035
duo shao ren 	多少人	c=1 d=0.102284 t=5035
duo shuo 	多說	c=1 d=0.305746 t=5035
duo wei 	多維	c=1 d=0.00290884 t=5035
duo wen jian 	多文件	c=2 d=0.366282 t=5035
duo xiang shi 	多項式	c=0 d=0.0818731 t=5035
en 	嗯	c=2 d=1.72616 t=5035
en 	恩	c=1 d=0.839457 t=5035
er 	二	c=1 d=0.283654 t=5035
er 	而	c=6 d=0.50409 t=5035
er jin zhi 	二進制	c=1 d=0.498048 t=5035
er jin zhi wen jian 	二進制文件	c=1 d=0.99005 t=5035
er lai 	而來	c=1 d=0.701173 t=5035
er shi 	而是	c=1 d=0.251796 t=5035
er shi shi yong 	而是使用	c=1 d=0.219808 t=5035
er wei 	二維	c=1 d=0.0523397 t=5035
fa 	法	c=3 d=0.751637 t=5035
fa 	發	c=2 d=0.516851 t=5035
fa de 	發的	c=0 d=0.0158817 t=5035
